open,high,low,close,volume,close_time,regime
64907.3,65129.12,64792.27,65016.23,2198.69,1704063600000,LATERAL
65016.23,65282.24,64543.63,64805.37,12440.34,1704067200000,LATERAL
64805.37,64915.88,64658.67,64793.14,2088.75,1704070800000,LATERAL
64793.14,65604.1,64223.5,65093.28,2318.31,1704074400000,LATERAL
65093.28,65442.68,64809.81,65006.69,6009.52,1704078000000,LATERAL
65006.69,65247.09,64806.98,65112.65,2066.1,1704081600000,LATERAL
65112.65,65348.08,64686.58,64986.68,1429.78,1704085200000,LATERAL
64986.68,65440.79,64803.05,65264.63,1020.87,1704088800000,LATERAL
65264.63,65537.82,64896.68,65061.53,1938.68,1704092400000,LATERAL
65061.53,65518.81,64880.65,65195.26,2214.84,1704096000000,LATERAL
65195.26,65345.39,65127.43,65224.02,1290.16,1704099600000,LATERAL
65224.02,65422.03,64946.08,65279.18,7904.39,1704103200000,LATERAL
65279.18,65637.09,65064.77,65435.15,1998.78,1704106800000,LATERAL
65435.15,65645.53,65058.33,65318.9,1766.86,1704110400000,LATERAL
65318.9,65951.27,64855.62,65689.08,1936.29,1704114000000,LATERAL
65689.08,66075.06,64668.01,65272.51,2100.5,1704117600000,LATERAL
65272.51,65497.92,65086.37,65417.32,1750.65,1704121200000,LATERAL
65417.32,65551.83,65147.87,65331.14,1542.42,1704124800000,LATERAL
65331.14,65546.16,65194.04,65283.91,2250.79,1704128400000,LATERAL
65283.91,65608.51,64836.48,65057.39,1278.35,1704132000000,LATERAL
65057.39,65351.72,64890.36,65227.43,1746.95,1704135600000,LATERAL
65227.43,65693.68,64968.67,65381.87,1490.86,1704139200000,LATERAL
65381.87,65785.72,64978.02,65218.47,838.61,1704142800000,LATERAL
65218.47,65657.42,64705.32,64924.3,1585.19,1704146400000,LATERAL
64924.3,65140.66,64829.42,64927.37,1058.93,1704150000000,LATERAL
64927.37,65245.26,64776.73,65090.89,1447.74,1704153600000,LATERAL
65090.89,65194.13,64895.19,65071.28,1415.08,1704157200000,LATERAL
65071.28,65609.42,64443.14,64746.72,2435.23,1704160800000,LATERAL
64746.72,64917.25,64384.81,64525.47,1251.98,1704164400000,LATERAL
64525.47,64754.88,64258.21,64438.63,2018.71,1704168000000,LATERAL
64438.63,64631.28,64280.69,64388.61,963.86,1704171600000,LATERAL
64388.61,64826.16,64124.62,64593.47,1144.02,1704175200000,LATERAL
64593.47,64818.57,64434.68,64651.55,1100.51,1704178800000,LATERAL
64651.55,64807.79,64550.34,64669.18,2023.09,1704182400000,LATERAL
64669.18,64825.87,64453.3,64674.52,1792.97,1704186000000,LATERAL
64674.52,64873.33,63993.0,64424.77,8242.52,1704189600000,LATERAL
64424.77,65042.28,64113.67,64628.48,1045.69,1704193200000,LATERAL
64628.48,65016.45,63862.54,64338.7,1090.01,1704196800000,LATERAL
64338.7,64643.64,64058.49,64243.96,1389.68,1704200400000,LATERAL
64243.96,64313.23,64093.26,64190.01,2429.55,1704204000000,LATERAL
64190.01,64457.45,64034.18,64266.13,940.64,1704207600000,LATERAL
64266.13,65899.62,63802.25,64977.95,2394.3,1704211200000,LATERAL
64977.95,65578.99,63939.44,64456.35,1253.86,1704214800000,LATERAL
64456.35,64639.69,64147.11,64355.22,11026.3,1704218400000,LATERAL
64355.22,64665.39,64069.88,64393.44,1038.42,1704222000000,LATERAL
64393.44,64811.97,63632.99,63987.07,1942.81,1704225600000,LATERAL
63987.07,64195.7,63760.56,64055.0,2035.89,1704229200000,LATERAL
64055.0,64843.58,61410.67,62756.69,2159.0,1704232800000,HIGH_VOL
62756.69,67537.0,60469.73,65081.93,5526.61,1704236400000,HIGH_VOL
65081.93,66047.85,63455.37,64072.13,6049.82,1704240000000,HIGH_VOL
64072.13,64376.5,63538.72,63891.0,3087.85,1704243600000,HIGH_VOL
63891.0,64623.57,63449.99,64372.72,2190.87,1704247200000,HIGH_VOL
